,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.380859375,"(4, 11, 17)",Single Execution,1.0,"{'000': 67, '001': 132, '010': 152, '011': 390, '100': 33, '101': 109, '110': 48, '111': 93}",{'011': 1024},ibmq_manhattan
1,0.3759765625,"(4, 11, 17)",Single Execution,2.0,"{'000': 58, '001': 126, '010': 172, '011': 385, '100': 34, '101': 90, '110': 44, '111': 115}",{'011': 1024},ibmq_manhattan
2,0.4140625,"(4, 11, 17)",Single Execution,3.0,"{'000': 62, '001': 143, '010': 138, '011': 424, '100': 33, '101': 93, '110': 40, '111': 91}",{'011': 1024},ibmq_manhattan
3,0.3681640625,"(4, 11, 17)",Single Execution,4.0,"{'000': 73, '001': 150, '010': 175, '011': 377, '100': 31, '101': 73, '110': 43, '111': 102}",{'011': 1024},ibmq_manhattan
4,0.376953125,"(4, 11, 17)",Single Execution,5.0,"{'000': 68, '001': 148, '010': 168, '011': 386, '100': 39, '101': 88, '110': 39, '111': 88}",{'011': 1024},ibmq_manhattan
5,0.4267578125,"(4, 11, 17)",Single Execution,6.0,"{'000': 61, '001': 121, '010': 148, '011': 437, '100': 31, '101': 100, '110': 48, '111': 78}",{'011': 1024},ibmq_manhattan
6,0.39453125,"(4, 11, 17)",Single Execution,7.0,"{'000': 62, '001': 144, '010': 158, '011': 404, '100': 37, '101': 83, '110': 31, '111': 105}",{'011': 1024},ibmq_manhattan
7,0.388671875,"(4, 11, 17)",Single Execution,8.0,"{'000': 82, '001': 136, '010': 163, '011': 398, '100': 46, '101': 78, '110': 38, '111': 83}",{'011': 1024},ibmq_manhattan
8,0.4150390625,"(4, 11, 17)",Single Execution,9.0,"{'000': 46, '001': 132, '010': 158, '011': 425, '100': 49, '101': 89, '110': 37, '111': 88}",{'011': 1024},ibmq_manhattan
9,0.3837890625,"(4, 11, 17)",Single Execution,10.0,"{'000': 60, '001': 136, '010': 183, '011': 393, '100': 35, '101': 91, '110': 42, '111': 84}",{'011': 1024},ibmq_manhattan
10,0.419921875,"(4, 11, 17)",Single Execution,11.0,"{'000': 58, '001': 118, '010': 156, '011': 430, '100': 38, '101': 88, '110': 50, '111': 86}",{'011': 1024},ibmq_manhattan
11,0.37890625,"(4, 11, 17)",Single Execution,12.0,"{'000': 65, '001': 160, '010': 143, '011': 388, '100': 47, '101': 89, '110': 42, '111': 90}",{'011': 1024},ibmq_manhattan
12,0.390625,"(4, 11, 17)",Single Execution,13.0,"{'000': 82, '001': 138, '010': 143, '011': 400, '100': 34, '101': 96, '110': 40, '111': 91}",{'011': 1024},ibmq_manhattan
13,0.3623046875,"(4, 11, 17)",Single Execution,14.0,"{'000': 74, '001': 138, '010': 165, '011': 371, '100': 48, '101': 83, '110': 49, '111': 96}",{'011': 1024},ibmq_manhattan
14,0.3984375,"(4, 11, 17)",Single Execution,15.0,"{'000': 69, '001': 137, '010': 152, '011': 408, '100': 40, '101': 82, '110': 47, '111': 89}",{'011': 1024},ibmq_manhattan
15,0.369140625,"(4, 11, 17)",Single Execution,16.0,"{'000': 62, '001': 138, '010': 166, '011': 378, '100': 35, '101': 107, '110': 43, '111': 95}",{'011': 1024},ibmq_manhattan
16,0.353515625,"(4, 11, 17)",Single Execution,17.0,"{'000': 62, '001': 164, '010': 169, '011': 362, '100': 37, '101': 91, '110': 40, '111': 99}",{'011': 1024},ibmq_manhattan
