,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.5107421875,"(12, 13, 14)",Single Execution,1.0,"{'000': 50, '001': 214, '010': 143, '011': 523, '100': 11, '101': 45, '110': 19, '111': 19}",{'011': 1024},ibmq_toronto
1,0.5341796875,"(12, 13, 14)",Single Execution,2.0,"{'000': 48, '001': 198, '010': 127, '011': 547, '100': 11, '101': 44, '110': 18, '111': 31}",{'011': 1024},ibmq_toronto
2,0.5244140625,"(12, 13, 14)",Single Execution,3.0,"{'000': 45, '001': 218, '010': 133, '011': 537, '100': 12, '101': 37, '110': 17, '111': 25}",{'011': 1024},ibmq_toronto
3,0.5263671875,"(12, 13, 14)",Single Execution,4.0,"{'000': 48, '001': 201, '010': 137, '011': 539, '100': 16, '101': 40, '110': 23, '111': 20}",{'011': 1024},ibmq_toronto
4,0.5498046875,"(12, 13, 14)",Single Execution,5.0,"{'000': 44, '001': 214, '010': 110, '011': 563, '100': 13, '101': 39, '110': 15, '111': 26}",{'011': 1024},ibmq_toronto
5,0.548828125,"(12, 13, 14)",Single Execution,6.0,"{'000': 47, '001': 198, '010': 135, '011': 562, '100': 11, '101': 28, '110': 12, '111': 31}",{'011': 1024},ibmq_toronto
6,0.529296875,"(12, 13, 14)",Single Execution,7.0,"{'000': 55, '001': 203, '010': 119, '011': 542, '100': 10, '101': 37, '110': 15, '111': 43}",{'011': 1024},ibmq_toronto
7,0.5458984375,"(12, 13, 14)",Single Execution,8.0,"{'000': 50, '001': 198, '010': 117, '011': 559, '100': 10, '101': 43, '110': 20, '111': 27}",{'011': 1024},ibmq_toronto
8,0.5498046875,"(12, 13, 14)",Single Execution,9.0,"{'000': 55, '001': 195, '010': 119, '011': 563, '100': 8, '101': 43, '110': 17, '111': 24}",{'011': 1024},ibmq_toronto
9,0.53125,"(12, 13, 14)",Single Execution,10.0,"{'000': 51, '001': 200, '010': 126, '011': 544, '100': 16, '101': 41, '110': 23, '111': 23}",{'011': 1024},ibmq_toronto
