,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.3818359375,"(12, 13, 14)",Single Execution,1.0,"{'000': 59, '001': 122, '010': 154, '011': 391, '100': 41, '101': 103, '110': 54, '111': 100}",{'011': 1024},ibmq_montreal
1,0.3740234375,"(12, 13, 14)",Single Execution,2.0,"{'000': 64, '001': 137, '010': 135, '011': 383, '100': 43, '101': 111, '110': 49, '111': 102}",{'011': 1024},ibmq_montreal
2,0.390625,"(12, 13, 14)",Single Execution,3.0,"{'000': 52, '001': 136, '010': 114, '011': 400, '100': 38, '101': 105, '110': 59, '111': 120}",{'011': 1024},ibmq_montreal
3,0.37890625,"(12, 13, 14)",Single Execution,4.0,"{'000': 71, '001': 160, '010': 111, '011': 388, '100': 37, '101': 100, '110': 46, '111': 111}",{'011': 1024},ibmq_montreal
4,0.3681640625,"(12, 13, 14)",Single Execution,5.0,"{'000': 83, '001': 130, '010': 137, '011': 377, '100': 33, '101': 98, '110': 61, '111': 105}",{'011': 1024},ibmq_montreal
5,0.3701171875,"(12, 13, 14)",Single Execution,6.0,"{'000': 51, '001': 149, '010': 94, '011': 379, '100': 43, '101': 128, '110': 61, '111': 119}",{'011': 1024},ibmq_montreal
6,0.3662109375,"(12, 13, 14)",Single Execution,7.0,"{'000': 56, '001': 151, '010': 131, '011': 375, '100': 29, '101': 136, '110': 47, '111': 99}",{'011': 1024},ibmq_montreal
7,0.373046875,"(12, 13, 14)",Single Execution,8.0,"{'000': 59, '001': 163, '010': 124, '011': 382, '100': 33, '101': 104, '110': 53, '111': 106}",{'011': 1024},ibmq_montreal
8,0.3408203125,"(12, 13, 14)",Single Execution,9.0,"{'000': 65, '001': 168, '010': 126, '011': 349, '100': 45, '101': 118, '110': 43, '111': 110}",{'011': 1024},ibmq_montreal
9,0.357421875,"(12, 13, 14)",Single Execution,10.0,"{'000': 48, '001': 145, '010': 128, '011': 366, '100': 44, '101': 130, '110': 48, '111': 115}",{'011': 1024},ibmq_montreal
10,0.375,"(12, 13, 14)",Single Execution,11.0,"{'000': 70, '001': 135, '010': 125, '011': 384, '100': 46, '101': 129, '110': 43, '111': 92}",{'011': 1024},ibmq_montreal
11,0.369140625,"(12, 13, 14)",Single Execution,12.0,"{'000': 67, '001': 145, '010': 138, '011': 378, '100': 42, '101': 102, '110': 46, '111': 106}",{'011': 1024},ibmq_montreal
12,0.3837890625,"(12, 13, 14)",Single Execution,13.0,"{'000': 52, '001': 162, '010': 139, '011': 393, '100': 40, '101': 99, '110': 53, '111': 86}",{'011': 1024},ibmq_montreal
13,0.3779296875,"(12, 13, 14)",Single Execution,14.0,"{'000': 70, '001': 140, '010': 139, '011': 387, '100': 43, '101': 95, '110': 50, '111': 100}",{'011': 1024},ibmq_montreal
14,0.3828125,"(12, 13, 14)",Single Execution,15.0,"{'000': 63, '001': 139, '010': 142, '011': 392, '100': 32, '101': 103, '110': 46, '111': 107}",{'011': 1024},ibmq_montreal
15,0.3486328125,"(12, 13, 14)",Single Execution,16.0,"{'000': 65, '001': 159, '010': 123, '011': 357, '100': 37, '101': 123, '110': 47, '111': 113}",{'011': 1024},ibmq_montreal
16,0.3681640625,"(12, 13, 14)",Single Execution,17.0,"{'000': 62, '001': 139, '010': 150, '011': 377, '100': 33, '101': 96, '110': 64, '111': 103}",{'011': 1024},ibmq_montreal
17,0.34765625,"(12, 13, 14)",Single Execution,18.0,"{'000': 61, '001': 155, '010': 126, '011': 356, '100': 42, '101': 109, '110': 64, '111': 111}",{'011': 1024},ibmq_montreal
18,0.3603515625,"(12, 13, 14)",Single Execution,19.0,"{'000': 69, '001': 153, '010': 131, '011': 369, '100': 36, '101': 111, '110': 48, '111': 107}",{'011': 1024},ibmq_montreal
19,0.37890625,"(12, 13, 14)",Single Execution,20.0,"{'000': 57, '001': 142, '010': 138, '011': 388, '100': 41, '101': 113, '110': 47, '111': 98}",{'011': 1024},ibmq_montreal
20,0.3701171875,"(12, 13, 14)",Single Execution,21.0,"{'000': 56, '001': 150, '010': 117, '011': 379, '100': 33, '101': 122, '110': 66, '111': 101}",{'011': 1024},ibmq_montreal
21,0.3623046875,"(12, 13, 14)",Single Execution,22.0,"{'000': 64, '001': 162, '010': 134, '011': 371, '100': 36, '101': 110, '110': 55, '111': 92}",{'011': 1024},ibmq_montreal
