,PST,Measured Qubits,Hop Count
0,0.59765625,"(4, 11, 17)",0
1,0.6240234375,"(4, 11, 17)",0
2,0.6220703125,"(4, 11, 17)",0
3,0.5927734375,"(4, 11, 17)",0
4,0.646484375,"(4, 11, 17)",0
5,0.6044921875,"(4, 11, 17)",0
6,0.6201171875,"(4, 11, 17)",0
7,0.626953125,"(4, 11, 17)",0
8,0.62890625,"(4, 11, 17)",0
9,0.6337890625,"(4, 11, 17)",0
10,0.6298828125,"(4, 11, 17)",0
11,0.607421875,"(4, 11, 17)",0
12,0.6181640625,"(4, 11, 17)",0
13,0.634765625,"(4, 11, 17)",0
14,0.6337890625,"(4, 11, 17)",0
15,0.6416015625,"(4, 11, 17)",0
16,0.640625,"(4, 11, 17)",0
17,0.6298828125,"(4, 11, 17)",0
18,0.6201171875,"(4, 11, 17)",0
19,0.6220703125,"(4, 11, 17)",0
20,0.6259765625,"(4, 11, 17)",0
21,0.626953125,"(4, 11, 17)",0
22,0.6025390625,"(4, 11, 17)",0
23,0.6435546875,"(4, 11, 17)",0
24,0.64453125,"(4, 11, 17)",0
25,0.6181640625,"(4, 11, 17)",0
26,0.6298828125,"(4, 11, 17)",0
27,0.6201171875,"(4, 11, 17)",0
28,0.6279296875,"(4, 11, 17)",0
29,0.60546875,"(4, 11, 17)",0
30,0.6201171875,"(4, 11, 17)",0
31,0.642578125,"(4, 11, 17)",0
32,0.6455078125,"(4, 11, 17)",0
33,0.625,"(4, 11, 17)",0
34,0.6279296875,"(4, 11, 17)",0
35,0.634765625,"(4, 11, 17)",0
36,0.6455078125,"(4, 11, 17)",0
37,0.6396484375,"(4, 11, 17)",0
38,0.63671875,"(4, 11, 17)",0
39,0.6064453125,"(4, 11, 17)",0
40,0.634765625,"(4, 11, 17)",0
41,0.6142578125,"(4, 11, 17)",0
42,0.6416015625,"(4, 11, 17)",0
43,0.630859375,"(4, 11, 17)",0
44,0.6220703125,"(4, 11, 17)",0
45,0.630859375,"(4, 11, 17)",0
46,0.6162109375,"(4, 11, 17)",0
47,0.625,"(4, 11, 17)",0
48,0.6357421875,"(4, 11, 17)",0
49,0.6259765625,"(4, 11, 17)",0
50,0.623046875,"(4, 11, 17)",0
51,0.630859375,"(4, 11, 17)",0
52,0.638671875,"(4, 11, 17)",0
53,0.62890625,"(4, 11, 17)",0
54,0.619140625,"(4, 11, 17)",0
55,0.6103515625,"(4, 11, 17)",0
56,0.6455078125,"(4, 11, 17)",0
57,0.6298828125,"(4, 11, 17)",0
58,0.607421875,"(4, 11, 17)",0
59,0.65625,"(4, 11, 17)",0
60,0.6279296875,"(4, 11, 17)",0
61,0.6494140625,"(4, 11, 17)",0
62,0.63671875,"(4, 11, 17)",0
63,0.6376953125,"(4, 11, 17)",0
64,0.642578125,"(4, 11, 17)",0
65,0.6298828125,"(4, 11, 17)",0
66,0.6455078125,"(4, 11, 17)",0
67,0.63671875,"(4, 11, 17)",0
68,0.62890625,"(4, 11, 17)",0
69,0.5888671875,"(4, 11, 17)",0
70,0.626953125,"(4, 11, 17)",0
71,0.630859375,"(4, 11, 17)",0
72,0.638671875,"(4, 11, 17)",0
73,0.6328125,"(4, 11, 17)",0
74,0.6279296875,"(4, 11, 17)",0
75,0.630859375,"(4, 11, 17)",0
76,0.630859375,"(4, 11, 17)",0
77,0.640625,"(4, 11, 17)",0
78,0.6259765625,"(4, 11, 17)",0
79,0.6181640625,"(4, 11, 17)",0
80,0.6630859375,"(4, 11, 17)",0
81,0.6171875,"(4, 11, 17)",0
82,0.6162109375,"(4, 11, 17)",0
83,0.607421875,"(4, 11, 17)",0
84,0.626953125,"(4, 11, 17)",0
85,0.650390625,"(4, 11, 17)",0
86,0.6201171875,"(4, 11, 17)",0
87,0.63671875,"(4, 11, 17)",0
88,0.607421875,"(4, 11, 17)",0
89,0.6220703125,"(4, 11, 17)",0
90,0.615234375,"(4, 11, 17)",0
91,0.59375,"(4, 11, 17)",0
92,0.6123046875,"(4, 11, 17)",0
93,0.615234375,"(4, 11, 17)",0
94,0.63671875,"(4, 11, 17)",0
95,0.642578125,"(4, 11, 17)",0
96,0.6240234375,"(4, 11, 17)",0
