,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator
0,0.7548828125,"(4, 11, 17)",0,1.0,"{'000': 12, '001': 109, '010': 58, '011': 773, '100': 1, '101': 29, '110': 10, '111': 32}",{'011': 1024}
1,0.748046875,"(4, 11, 17)",0,2.0,"{'000': 18, '001': 111, '010': 59, '011': 766, '100': 1, '101': 26, '110': 4, '111': 39}",{'011': 1024}
2,0.76953125,"(4, 11, 17)",0,3.0,"{'000': 9, '001': 97, '010': 59, '011': 788, '100': 2, '101': 23, '110': 9, '111': 37}",{'011': 1024}
3,0.7646484375,"(4, 11, 17)",0,4.0,"{'000': 9, '001': 103, '010': 59, '011': 783, '100': 2, '101': 28, '110': 5, '111': 35}",{'011': 1024}
4,0.7587890625,"(4, 11, 17)",0,5.0,"{'000': 11, '001': 112, '010': 46, '011': 777, '100': 2, '101': 35, '110': 5, '111': 36}",{'011': 1024}
5,0.7490234375,"(4, 11, 17)",0,6.0,"{'000': 13, '001': 126, '010': 57, '011': 767, '100': 5, '101': 20, '110': 9, '111': 27}",{'011': 1024}
6,0.7763671875,"(4, 11, 17)",0,7.0,"{'000': 10, '001': 101, '010': 57, '011': 795, '100': 3, '101': 17, '110': 12, '111': 29}",{'011': 1024}
7,0.75390625,"(4, 11, 17)",0,8.0,"{'000': 12, '001': 113, '010': 69, '011': 772, '100': 5, '101': 19, '110': 7, '111': 27}",{'011': 1024}
8,0.76171875,"(4, 11, 17)",0,9.0,"{'000': 13, '001': 101, '010': 60, '011': 780, '100': 1, '101': 23, '110': 9, '111': 37}",{'011': 1024}
9,0.755859375,"(4, 11, 17)",0,10.0,"{'000': 7, '001': 121, '010': 68, '011': 774, '100': 3, '101': 15, '110': 7, '111': 29}",{'011': 1024}
10,0.748046875,"(4, 11, 17)",0,11.0,"{'000': 13, '001': 107, '010': 66, '011': 766, '100': 2, '101': 24, '110': 4, '111': 42}",{'011': 1024}
11,0.759765625,"(4, 11, 17)",0,12.0,"{'000': 4, '001': 108, '010': 72, '011': 778, '100': 3, '101': 27, '110': 4, '111': 28}",{'011': 1024}
12,0.7646484375,"(4, 11, 17)",0,13.0,"{'000': 12, '001': 103, '010': 63, '011': 783, '100': 1, '101': 27, '110': 7, '111': 28}",{'011': 1024}
13,0.7587890625,"(4, 11, 17)",0,14.0,"{'000': 10, '001': 116, '010': 51, '011': 777, '100': 3, '101': 24, '110': 11, '111': 32}",{'011': 1024}
14,0.748046875,"(4, 11, 17)",0,15.0,"{'000': 17, '001': 108, '010': 58, '011': 766, '100': 2, '101': 33, '110': 12, '111': 28}",{'011': 1024}
15,0.7529296875,"(4, 11, 17)",0,16.0,"{'000': 11, '001': 101, '010': 65, '011': 771, '100': 4, '101': 29, '110': 11, '111': 32}",{'011': 1024}
16,0.7763671875,"(4, 11, 17)",0,17.0,"{'000': 8, '001': 103, '010': 50, '011': 795, '100': 3, '101': 29, '110': 6, '111': 30}",{'011': 1024}
17,0.7607421875,"(4, 11, 17)",0,18.0,"{'000': 10, '001': 101, '010': 66, '011': 779, '100': 3, '101': 24, '110': 11, '111': 30}",{'011': 1024}
18,0.775390625,"(4, 11, 17)",0,19.0,"{'000': 8, '001': 93, '010': 72, '011': 794, '100': 1, '101': 16, '110': 10, '111': 30}",{'011': 1024}
19,0.7705078125,"(4, 11, 17)",0,20.0,"{'000': 12, '001': 107, '010': 48, '011': 789, '100': 2, '101': 28, '110': 8, '111': 30}",{'011': 1024}
20,0.7421875,"(4, 11, 17)",0,21.0,"{'000': 14, '001': 126, '010': 55, '011': 760, '100': 1, '101': 27, '110': 9, '111': 32}",{'011': 1024}
21,0.7626953125,"(4, 11, 17)",0,22.0,"{'000': 12, '001': 114, '010': 52, '011': 781, '100': 4, '101': 18, '110': 11, '111': 32}",{'011': 1024}
22,0.7744140625,"(4, 11, 17)",0,23.0,"{'000': 7, '001': 122, '010': 57, '011': 793, '100': 2, '101': 14, '110': 3, '111': 26}",{'011': 1024}
23,0.7470703125,"(4, 11, 17)",0,24.0,"{'000': 11, '001': 121, '010': 58, '011': 765, '100': 3, '101': 25, '110': 8, '111': 33}",{'011': 1024}
24,0.7626953125,"(4, 11, 17)",0,25.0,"{'000': 14, '001': 116, '010': 50, '011': 781, '100': 3, '101': 19, '110': 13, '111': 28}",{'011': 1024}
