,PST,Measured Qubits,Hop Count
0,0.5888671875,"(12, 13, 14)",0
1,0.5986328125,"(12, 13, 14)",0
2,0.5576171875,"(12, 13, 14)",0
3,0.6025390625,"(12, 13, 14)",0
4,0.5927734375,"(12, 13, 14)",0
5,0.6044921875,"(12, 13, 14)",0
6,0.5537109375,"(12, 13, 14)",0
7,0.5830078125,"(12, 13, 14)",0
8,0.576171875,"(12, 13, 14)",0
9,0.5908203125,"(12, 13, 14)",0
10,0.58203125,"(12, 13, 14)",0
11,0.5888671875,"(12, 13, 14)",0
12,0.5751953125,"(12, 13, 14)",0
13,0.560546875,"(12, 13, 14)",0
14,0.5595703125,"(12, 13, 14)",0
15,0.6064453125,"(12, 13, 14)",0
16,0.568359375,"(12, 13, 14)",0
17,0.57421875,"(12, 13, 14)",0
18,0.5908203125,"(12, 13, 14)",0
19,0.5791015625,"(12, 13, 14)",0
20,0.5966796875,"(12, 13, 14)",0
21,0.6083984375,"(12, 13, 14)",0
22,0.583984375,"(12, 13, 14)",0
23,0.599609375,"(12, 13, 14)",0
24,0.5751953125,"(12, 13, 14)",0
25,0.603515625,"(12, 13, 14)",0
26,0.6015625,"(12, 13, 14)",0
27,0.5888671875,"(12, 13, 14)",0
28,0.57421875,"(12, 13, 14)",0
29,0.6083984375,"(12, 13, 14)",0
30,0.57421875,"(12, 13, 14)",0
31,0.5859375,"(12, 13, 14)",0
32,0.5869140625,"(12, 13, 14)",0
33,0.6201171875,"(12, 13, 14)",0
34,0.6005859375,"(12, 13, 14)",0
35,0.57421875,"(12, 13, 14)",0
36,0.5703125,"(12, 13, 14)",0
37,0.55859375,"(12, 13, 14)",0
38,0.6015625,"(12, 13, 14)",0
39,0.6015625,"(12, 13, 14)",0
40,0.6064453125,"(12, 13, 14)",0
41,0.5654296875,"(12, 13, 14)",0
42,0.58203125,"(12, 13, 14)",0
43,0.5927734375,"(12, 13, 14)",0
44,0.572265625,"(12, 13, 14)",0
45,0.5712890625,"(12, 13, 14)",0
46,0.5830078125,"(12, 13, 14)",0
