,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator
0,0.455078125,"(12, 13, 14)",0,1.0,"{'000': 28, '001': 170, '010': 81, '011': 466, '100': 26, '101': 102, '110': 45, '111': 106}",{'011': 1024}
1,0.4609375,"(12, 13, 14)",0,2.0,"{'000': 39, '001': 178, '010': 52, '011': 472, '100': 42, '101': 93, '110': 29, '111': 119}",{'011': 1024}
2,0.462890625,"(12, 13, 14)",0,3.0,"{'000': 34, '001': 181, '010': 73, '011': 474, '100': 28, '101': 91, '110': 51, '111': 92}",{'011': 1024}
3,0.4658203125,"(12, 13, 14)",0,4.0,"{'000': 43, '001': 171, '010': 75, '011': 477, '100': 28, '101': 79, '110': 48, '111': 103}",{'011': 1024}
4,0.46484375,"(12, 13, 14)",0,5.0,"{'000': 31, '001': 175, '010': 75, '011': 476, '100': 31, '101': 74, '110': 44, '111': 118}",{'011': 1024}
5,0.4599609375,"(12, 13, 14)",0,6.0,"{'000': 23, '001': 172, '010': 82, '011': 471, '100': 27, '101': 81, '110': 62, '111': 106}",{'011': 1024}
6,0.462890625,"(12, 13, 14)",0,7.0,"{'000': 40, '001': 179, '010': 78, '011': 474, '100': 25, '101': 81, '110': 44, '111': 103}",{'011': 1024}
7,0.48046875,"(12, 13, 14)",0,8.0,"{'000': 31, '001': 179, '010': 69, '011': 492, '100': 28, '101': 78, '110': 38, '111': 109}",{'011': 1024}
8,0.4736328125,"(12, 13, 14)",0,9.0,"{'000': 36, '001': 169, '010': 77, '011': 485, '100': 30, '101': 70, '110': 45, '111': 112}",{'011': 1024}
9,0.451171875,"(12, 13, 14)",0,10.0,"{'000': 34, '001': 176, '010': 79, '011': 462, '100': 34, '101': 79, '110': 48, '111': 112}",{'011': 1024}
10,0.462890625,"(12, 13, 14)",0,11.0,"{'000': 34, '001': 157, '010': 93, '011': 474, '100': 27, '101': 85, '110': 43, '111': 111}",{'011': 1024}
11,0.4619140625,"(12, 13, 14)",0,12.0,"{'000': 28, '001': 197, '010': 73, '011': 473, '100': 28, '101': 78, '110': 48, '111': 99}",{'011': 1024}
12,0.4677734375,"(12, 13, 14)",0,13.0,"{'000': 27, '001': 177, '010': 75, '011': 479, '100': 29, '101': 84, '110': 44, '111': 109}",{'011': 1024}
13,0.47265625,"(12, 13, 14)",0,14.0,"{'000': 41, '001': 185, '010': 66, '011': 484, '100': 22, '101': 66, '110': 49, '111': 111}",{'011': 1024}
14,0.47265625,"(12, 13, 14)",0,15.0,"{'000': 39, '001': 174, '010': 69, '011': 484, '100': 24, '101': 83, '110': 45, '111': 106}",{'011': 1024}
15,0.45703125,"(12, 13, 14)",0,16.0,"{'000': 39, '001': 180, '010': 64, '011': 468, '100': 25, '101': 86, '110': 46, '111': 116}",{'011': 1024}
16,0.4599609375,"(12, 13, 14)",0,17.0,"{'000': 37, '001': 182, '010': 76, '011': 471, '100': 32, '101': 83, '110': 48, '111': 95}",{'011': 1024}
17,0.474609375,"(12, 13, 14)",0,18.0,"{'000': 36, '001': 167, '010': 83, '011': 486, '100': 27, '101': 75, '110': 46, '111': 104}",{'011': 1024}
18,0.4580078125,"(12, 13, 14)",0,19.0,"{'000': 29, '001': 191, '010': 76, '011': 469, '100': 23, '101': 88, '110': 48, '111': 100}",{'011': 1024}
19,0.4541015625,"(12, 13, 14)",0,20.0,"{'000': 38, '001': 173, '010': 57, '011': 465, '100': 41, '101': 101, '110': 37, '111': 112}",{'011': 1024}
20,0.462890625,"(12, 13, 14)",0,21.0,"{'000': 40, '001': 164, '010': 81, '011': 474, '100': 28, '101': 80, '110': 42, '111': 115}",{'011': 1024}
21,0.4482421875,"(12, 13, 14)",0,22.0,"{'000': 29, '001': 167, '010': 85, '011': 459, '100': 35, '101': 91, '110': 43, '111': 115}",{'011': 1024}
22,0.478515625,"(12, 13, 14)",0,23.0,"{'000': 36, '001': 166, '010': 71, '011': 490, '100': 27, '101': 75, '110': 48, '111': 111}",{'011': 1024}
23,0.4697265625,"(12, 13, 14)",0,24.0,"{'000': 33, '001': 164, '010': 85, '011': 481, '100': 28, '101': 80, '110': 41, '111': 112}",{'011': 1024}
24,0.48828125,"(12, 13, 14)",0,25.0,"{'000': 31, '001': 156, '010': 71, '011': 500, '100': 29, '101': 77, '110': 44, '111': 116}",{'011': 1024}
25,0.4814453125,"(12, 13, 14)",0,26.0,"{'000': 32, '001': 165, '010': 70, '011': 493, '100': 33, '101': 70, '110': 56, '111': 105}",{'011': 1024}
26,0.4814453125,"(12, 13, 14)",0,27.0,"{'000': 22, '001': 176, '010': 65, '011': 493, '100': 26, '101': 74, '110': 43, '111': 125}",{'011': 1024}
