Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,74.70365707519852,132.1238833753678,5.071545359055317,1.0699999999999932e-2,4.8352654929085777e-4,"cx0_1: 1.590e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q1,75.3846396033398,84.71647128872495,5.020133547467902,1.529999999999998e-2,5.142688195306402e-4,"cx1_0: 1.590e-2, cx1_2: 1.326e-2, cx1_4: 1.248e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q2,84.51340549481405,108.18731360879657,4.8169076735182035,2.3499999999999965e-2,3.666536314038973e-4,"cx2_1: 1.326e-2, cx2_3: 6.487e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q3,90.64755781222871,76.2193366625633,4.894634303966127,1.0499999999999954e-2,6.325138519867473e-4,"cx3_2: 6.487e-2, cx3_5: 3.889e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q4,66.19110714196016,68.91877435144096,5.085073326180939,1.2399999999999967e-2,3.4589077481640603e-4,"cx4_1: 1.248e-2, cx4_7: 9.845e-3",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q5,57.59001524687978,32.12942356491416,4.795553483455542,1.7090000000000005e-1,7.91803558760262e-4,"cx5_3: 3.889e-2, cx5_8: 1.848e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q6,46.39387011925139,72.9514925662843,5.201754557110727,5.500000000000005e-2,3.8983610894288034e-4,"cx6_7: 1.012e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q7,46.30759794791022,60.897304746492026,5.142317993494251,1.750000000000007e-2,3.3190314751631387e-4,"cx7_4: 9.845e-3, cx7_6: 1.012e-2, cx7_10: 9.602e-3",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q8,68.11781694504609,44.28571147178347,5.068722189217657,6.099999999999994e-2,5.776669261207596e-4,"cx8_5: 1.848e-2, cx8_9: 1.392e-2, cx8_11: 1.026e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q9,103.35552821215205,111.72490899717586,5.169224835807203,8.299999999999974e-3,3.428645227770195e-4,"cx9_8: 1.392e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q10,81.28292613971182,120.83994482892535,4.919578971063929,1.4999999999999902e-2,4.344618078641602e-4,"cx10_7: 9.602e-3, cx10_12: 1.322e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
Q11,94.71509365164161,146.25919707672725,4.959755590083132,1.4800000000000035e-2,3.0229341265704035e-4,"cx11_8: 1.026e-2, cx11_14: 1.243e-2",Thu Nov 12 2020 08:22:02 GMT+0900 (JST)
