Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,110.08775600044568,57.91493782438837,5.2249544635832805,4.359999999999997e-2,3.726133945348884e-4,"cx0_1: 8.416e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q1,121.56198586009857,211.6707618571191,5.003487923365126,4.0200000000000014e-2,1.7807600900141354e-4,"cx1_0: 8.416e-3, cx1_2: 6.771e-3, cx1_4: 6.685e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q2,120.73598144239693,127.80478007481013,5.1437882681362375,9.499999999999953e-3,1.9574630273775468e-4,"cx2_1: 6.771e-3, cx2_3: 7.767e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q3,126.89341094932483,198.5134341542119,5.209634813333724,1.1700000000000044e-2,6.189402657447831e-4,"cx3_2: 7.767e-3, cx3_5: 1.286e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q4,113.60742405672673,160.99242028471687,5.087697832684349,4.039999999999999e-2,1.9247067571847104e-4,"cx4_1: 6.685e-3, cx4_7: 7.532e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q5,86.93906358138643,93.42450708217918,5.167258208532507,1.0499999999999954e-2,4.785677469866041e-4,"cx5_3: 1.286e-2, cx5_8: 9.263e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q6,104.12474430840395,82.00947254534037,5.1516694915901375,2.4799999999999933e-2,2.8341685376821426e-4,"cx6_7: 1.141e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q7,135.8540103336023,239.92151341328847,4.915430633534333,3.749999999999998e-2,2.036470569639047e-4,"cx7_4: 7.532e-3, cx7_6: 1.141e-2, cx7_10: 8.251e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q8,117.1201448235949,50.02790667796018,5.033352102177093,1.3700000000000045e-2,2.9349475669637916e-4,"cx8_5: 9.263e-3, cx8_9: 8.839e-3, cx8_11: 8.688e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q9,94.36054663380473,103.54284144425715,5.0821735874872935,1.0299999999999976e-2,2.441655845749053e-4,"cx9_8: 8.839e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q10,66.96412100056784,98.22395596544209,5.097756909438108,2.6899999999999924e-2,2.081627949367266e-4,"cx10_7: 8.251e-3, cx10_12: 1.611e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q11,83.87960063682095,180.60549484980191,5.116586738636069,1.5199999999999991e-2,2.234093111357275e-4,"cx11_8: 8.688e-3, cx11_14: 7.024e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q12,126.9384129377353,196.6571004826299,4.9277757552675885,4.2100000000000026e-2,3.239848101558265e-4,"cx12_10: 1.611e-2, cx12_13: 9.988e-3, cx12_15: 1.005e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q13,114.15349584788983,216.16009926687667,5.127648869232257,2.1520000000000006e-1,2.3994853018264193e-4,"cx13_12: 9.988e-3, cx13_14: 7.793e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q14,114.04676517008917,204.1490378321876,5.017274903390669,1.1900000000000022e-2,1.9751410555022465e-4,"cx14_11: 7.024e-3, cx14_13: 7.793e-3, cx14_16: 5.515e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q15,68.2362109712828,53.75688732135765,5.091645051421943,2.0639999999999992e-1,1.5500695089422426e-3,"cx15_12: 1.005e-2, cx15_18: 1.773e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q16,109.69321781541487,169.70001592600806,4.943167591748682,3.849999999999998e-2,2.371794654401535e-4,"cx16_14: 5.515e-3, cx16_19: 6.673e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q17,131.3771648872112,83.34126721376664,5.157805739935143,1.5800000000000036e-2,2.609885827834805e-4,"cx17_18: 1.272e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q18,119.38854774745676,183.8321408518854,5.059674328726721,5.8599999999999985e-2,9.989418061470542e-4,"cx18_15: 1.773e-2, cx18_17: 1.272e-2, cx18_21: 1.411e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q19,98.86673708013768,107.7169560485977,5.069457197768548,1.4699999999999935e-2,3.245675988512151e-4,"cx19_16: 6.673e-3, cx19_20: 1.444e-2, cx19_22: 1.000e+0",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q20,105.93455669294772,76.30300442298791,4.916019209988681,1.0099999999999998e-2,4.4272909667423903e-4,"cx20_19: 1.444e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q21,108.40225765749939,55.24809021742471,5.144740792574521,1.1700000000000044e-2,4.180165798731158e-4,"cx21_18: 1.411e-2, cx21_23: 1.517e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q22,65.22184856259868,97.06198155721566,5.122495870812797,1.550000000000007e-2,3.56423702683721e-4,"cx22_19: 1.000e+0, cx22_25: 2.525e-2",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q23,100.85725029799022,43.88428705576885,5.099945501897037,4.5700000000000074e-2,5.101173272106727e-4,"cx23_21: 1.517e-2, cx23_24: 8.483e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
Q24,137.51308423389133,146.67579347474148,4.963340205441477,1.079999999999992e-2,2.1151285032329782e-4,"cx24_23: 8.483e-3, cx24_25: 7.727e-3",Tue Nov 24 2020 23:10:32 GMT+0900 (JST)
